gene_id,variance
ENSG00000007038.11,4.9051537952426365
ENSG00000176406.23,4.903180627949809
ENSG00000099954.18,4.892911482243033
ENSG00000286619.1,4.881605076067403
ENSG00000168243.11,4.874771725558854
ENSG00000119698.12,4.853089498875376
ENSG00000198732.11,4.842639406735939
ENSG00000287550.1,4.838843319614113
ENSG00000108176.15,4.831445163295657
ENSG00000196208.14,4.8294694329964125
ENSG00000132746.15,4.829097352549195
ENSG00000019169.10,4.828578418256137
ENSG00000114547.10,4.824503373480958
ENSG00000171557.17,4.819342069046265
ENSG00000146038.12,4.8191185442867654
ENSG00000180269.8,4.806893980073803
ENSG00000115844.11,4.805406507906432
ENSG00000176194.18,4.799389920727052
ENSG00000164129.12,4.791815323381732
ENSG00000116176.6,4.790505594839399
ENSG00000109906.14,4.787937543878921
ENSG00000140798.16,4.781414691794685
ENSG00000100033.16,4.781142035200171
ENSG00000175426.11,4.7776816942603615
ENSG00000110169.11,4.775548952794029
ENSG00000168350.8,4.775003176113536
ENSG00000184937.16,4.765283144402569
ENSG00000228639.8,4.7650359586844315
ENSG00000224389.9,4.7555648540951205
ENSG00000241294.1,4.7544010153262874
ENSG00000196427.13,4.74669440255304
ENSG00000275385.2,4.744392013160128
ENSG00000243264.2,4.743374222336672
ENSG00000225362.10,4.742480583796154
ENSG00000211670.2,4.741971278328707
ENSG00000105369.10,4.73747426867643
ENSG00000211946.3,4.734184198310005
ENSG00000189431.8,4.7323003305922855
ENSG00000249306.6,4.729302053485998
ENSG00000203685.10,4.726815808804794
ENSG00000117215.15,4.7202440001472885
ENSG00000141639.12,4.719042620722711
ENSG00000175920.18,4.7129729595719265
ENSG00000153132.13,4.711723009510494
ENSG00000165272.16,4.710240177884828
ENSG00000197506.8,4.709923753843858
ENSG00000178538.10,4.709549186360149
ENSG00000244731.8,4.705670407338155
ENSG00000157303.11,4.698658598253919
ENSG00000249242.8,4.691854301592206
ENSG00000179913.11,4.69015283399706
ENSG00000132554.20,4.683775453024978
ENSG00000225449.3,4.683714145111937
ENSG00000133067.17,4.683651540183115
ENSG00000145920.15,4.6760353396721595
ENSG00000169862.19,4.672643862560249
ENSG00000262902.1,4.670859149421766
ENSG00000166317.12,4.667839487560164
ENSG00000260318.1,4.661567448613015
ENSG00000086570.12,4.657235816287072
ENSG00000233041.8,4.6564676569663135
ENSG00000211967.3,4.65298229859882
ENSG00000135447.17,4.652801667464559
ENSG00000026559.14,4.650168738868423
ENSG00000151632.17,4.649347019088926
ENSG00000211649.3,4.646573241592471
ENSG00000077279.19,4.638005479222035
ENSG00000182795.13,4.63206244256268
ENSG00000258910.3,4.6240716094919065
ENSG00000189001.11,4.623572244842831
ENSG00000176532.4,4.615702094273669
ENSG00000152049.6,4.615678592761774
ENSG00000071991.9,4.613601419722243
ENSG00000243955.6,4.6103989033595445
ENSG00000170579.17,4.600670776976099
ENSG00000100604.13,4.598412485768236
ENSG00000164742.16,4.593443569777254
ENSG00000211658.2,4.593284915187305
ENSG00000170500.13,4.588684021684328
ENSG00000165186.12,4.586247674648196
ENSG00000211685.3,4.565783848737444
ENSG00000009765.15,4.55609793202167
ENSG00000124493.14,4.553350937878414
ENSG00000237988.5,4.539158701009234
ENSG00000214456.8,4.538694993116292
ENSG00000166828.3,4.53599179003498
ENSG00000164120.14,4.531481230292622
ENSG00000204128.6,4.519658024838273
ENSG00000181449.4,4.510074564298626
ENSG00000107807.13,4.507852587482473
ENSG00000073282.14,4.494886254692288
ENSG00000166840.13,4.493889054085884
ENSG00000213225.7,4.490058219610521
ENSG00000286381.1,4.488774758876031
ENSG00000144355.15,4.485907122763866
ENSG00000170381.14,4.485194384904711
ENSG00000136928.7,4.484293720453698
ENSG00000140284.11,4.470807039638785
ENSG00000228278.5,4.469012844419864
ENSG00000162722.9,4.46653505237682
ENSG00000122756.15,4.465307412357641
ENSG00000188910.8,4.464365842797637
ENSG00000196557.13,4.46232428654101
ENSG00000196132.14,4.461403976779381
ENSG00000132681.17,4.460736610038748
ENSG00000072041.17,4.459210588152623
ENSG00000204019.5,4.454340657984405
ENSG00000171517.6,4.449551228080581
ENSG00000223573.7,4.445412465581757
ENSG00000198681.7,4.44184024781876
ENSG00000167080.9,4.440346758904669
ENSG00000197888.2,4.43859131608629
ENSG00000204644.10,4.4361435171577295
ENSG00000167614.14,4.43399901116992
ENSG00000138207.14,4.431617297793567
ENSG00000211625.2,4.429035852459519
ENSG00000171903.16,4.424189477993671
ENSG00000125740.14,4.420568604120058
ENSG00000083782.8,4.413212937051619
ENSG00000170549.4,4.412984014822201
ENSG00000211650.2,4.408740416577045
ENSG00000229807.12,4.402214194145391
ENSG00000148735.15,4.395911166401889
ENSG00000155093.19,4.395331058442908
ENSG00000185634.12,4.390527939089812
ENSG00000211639.2,4.3900913442531175
ENSG00000249599.2,4.38620763656071
ENSG00000215808.4,4.378025150108963
ENSG00000124205.18,4.377124454201794
ENSG00000204936.10,4.3709626504823165
ENSG00000197261.11,4.369230088664896
ENSG00000160862.13,4.368769052788058
ENSG00000235978.6,4.3675746629651675
ENSG00000233913.7,4.366236399416071
ENSG00000099812.9,4.365934076676979
ENSG00000196620.10,4.356961754519388
ENSG00000165973.19,4.348578046142635
ENSG00000118849.10,4.347106622119535
ENSG00000113763.12,4.3469957336890666
ENSG00000171401.15,4.346332258584417
ENSG00000253998.3,4.342798764453136
ENSG00000211652.2,4.340953970196298
ENSG00000265766.3,4.340881393679935
ENSG00000131203.13,4.340561639627897
ENSG00000162949.16,4.338170804323588
ENSG00000135226.18,4.333461166098516
ENSG00000255026.1,4.331318046289662
ENSG00000145681.11,4.330178056589582
ENSG00000240521.1,4.327361449406582
ENSG00000092758.18,4.327109076304648
ENSG00000130487.9,4.324533859371457
ENSG00000138615.6,4.323014842831807
ENSG00000223350.2,4.321741846918076
ENSG00000131746.13,4.31994319553342
ENSG00000125144.14,4.319864124538556
ENSG00000214100.8,4.315764913876285
ENSG00000214263.2,4.30992753861344
ENSG00000160307.10,4.306725337420933
ENSG00000287952.1,4.303268560293589
ENSG00000165078.13,4.301877234346409
ENSG00000137968.16,4.30037896098876
ENSG00000171385.10,4.298252243785766
ENSG00000159307.19,4.294912388746018
ENSG00000127954.13,4.292053016819017
ENSG00000164825.4,4.291802003110688
ENSG00000177359.20,4.289783035800663
ENSG00000115255.12,4.287151335834845
ENSG00000211942.3,4.285837769746467
ENSG00000272620.2,4.2833460130802665
ENSG00000166391.15,4.2799369178041635
ENSG00000138083.5,4.279842426979639
ENSG00000135744.8,4.27940042840694
ENSG00000147381.11,4.277681933617091
ENSG00000135750.15,4.275299573609162
ENSG00000228971.3,4.273683202155591
ENSG00000124253.11,4.267241033688011
ENSG00000113430.10,4.26201800602648
ENSG00000168079.17,4.252457382175287
ENSG00000156284.6,4.251082277415841
ENSG00000071909.19,4.246575752920586
ENSG00000168143.9,4.242593632377878
ENSG00000124249.7,4.241117936508141
ENSG00000113296.14,4.239349483158586
ENSG00000125848.10,4.238310116871178
ENSG00000111052.7,4.237436393024881
ENSG00000198074.10,4.236864572486673
